rule,timetodeath
B12345/S6,25039.0
B12345/S7,25039.0
B12345/S4,25039.0
B1234567/S3567,25039.0
B12345/S2,25039.0
B12345/S3,25039.0
B1234/S1234578,25039.0
B12345/S1,25039.0
B12/S146,25039.0
B12/S147,25039.0
B12/S145,25039.0
B12/S1234578,25039.0
B1234/S23467,25039.0
B1234567/S2367,25039.0
B123456/S123578,25039.0
B12345/S84567,25039.0
B123/S123478,25039.0
B1/S2567,25039.0
B123/S82467,25039.0
B1234567/S123567,25039.0
B12345678/S1234568,25039.0
B123/S123678,25039.0
B12345/S1234578,25039.0
B12345678/S1234567,25039.0
B1234567/S123568,25039.0
B1234/S8234,25039.0
B1234/S8235,25039.0
B1234/S8236,25039.0
B1234/S8237,25039.0
B1/S12357,25039.0
B1/S12356,25039.0
B123/S23,25039.0
B123/S26,25039.0
B123/S27,25039.0
B123/S24,25039.0
B123/S25,25039.0
B1234567/S125678,25039.0
B12345678/S8234,25039.0
B12345678/S8235,25039.0
B12345678/S8236,25039.0
B12345678/S8237,25039.0
B123456/S145678,25039.0
B123456/S12356,25039.0
B123456/S12357,25039.0
B12345/S1257,25039.0
B12345/S1256,25039.0
B1/S82567,25039.0
B12/S81267,25039.0
B12/S824,25039.0
B1234567/S247,25039.0
B1234567/S246,25039.0
B1234567/S245,25039.0
B1234567/S8,25039.0
B12/S827,25039.0
B1234/S8124,25039.0
B1234/S8125,25039.0
B1234/S8126,25039.0
B1234/S8127,25039.0
B1234/S8123,25039.0
B12/S1245678,25039.0
B1/S1235678,25039.0
B12/S823,25039.0
B1/S124578,25039.0
B12345678/S8124,25039.0
B12345678/S8125,25039.0
B12345678/S8126,25039.0
B12345678/S8127,25039.0
B1/S81346,25039.0
B1/S81347,25039.0
B12/S34567,25039.0
B12345678/S8123,25039.0
B123/S234567,25039.0
B123/S346,25039.0
B123/S347,25039.0
B123/S345,25039.0
B123/S234568,25039.0
B1234567/S12467,25039.0
B1/S3567,25039.0
B1234567/S8167,25039.0
B1234/S134578,25039.0
B1234/S82457,25039.0
B1234/S82456,25039.0
B1/S23567,25039.0
B12345/S81247,25039.0
B12345/S81246,25039.0
B12345/S81245,25039.0
B12345678/S467,25039.0
B12/S82567,25039.0
B12345678/S867,25039.0
B12345/S156,25039.0
B12345/S157,25039.0
B1234/S56,25039.0
B1234/S57,25039.0
B12/S4567,25039.0
B123/S167,25039.0
B1234567/S134568,25039.0
B1234567/S81,25039.0
B1234567/S82,25039.0
B1234567/S83,25039.0
B1234567/S84,25039.0
B1234567/S85,25039.0
B1234567/S86,25039.0
B1234567/S87,25039.0
B123456/S1367,25039.0
B12/S12346,25039.0
B1234567/S8235,25039.0
B1234567/S8234,25039.0
B1234567/S8237,25039.0
B1234/S12347,25039.0
B1234/S81234,25039.0
B1234/S81235,25039.0
B1234/S81236,25039.0
B1234/S81237,25039.0
B12345/S82347,25039.0
B12345/S82346,25039.0
B12345/S82345,25039.0
B12345/S2345678,25039.0
B123456/S124,25039.0
B1234567/S1234567,25039.0
B123456/S8567,25039.0
B123456/S126,25039.0
B1/S1256,25039.0
B1234567/S81367,25039.0
B1/S1245678,25039.0
B12345678/S81367,25039.0
B12/S83567,25039.0
B12345/S8346,25039.0
B12345/S8347,25039.0
B12345/S8345,25039.0
B1234/S81345,25039.0
B1234/S81346,25039.0
B1234/S81347,25039.0
B12/S8246,25039.0
B1234/S245,25039.0
B1234/S246,25039.0
B1234/S247,25039.0
B123/S81257,25039.0
B123/S81256,25039.0
B123456/S1567,25039.0
B123456/S125,25039.0
B12345678/S123478,25039.0
B123456/S345678,25039.0
B12/S8234,25039.0
B12345/S4567,25039.0
B1234/S1234567,25039.0
B12/S12467,25039.0
B1/S8467,25039.0
B1234/S1234568,25039.0
B1/S127,25039.0
B1/S126,25039.0
B1/S125,25039.0
B1/S124,25039.0
B1/S123,25039.0
B12/S157,25039.0
B12/S156,25039.0
B123456/S8347,25039.0
B123456/S8346,25039.0
B123456/S8345,25039.0
B123456/S3456,25039.0
B123456/S3457,25039.0
B1/S123567,25039.0
B123456/S2457,25039.0
B123456/S2456,25039.0
B123/S256,25039.0
B12345/S8126,25039.0
B12345/S8127,25039.0
B1234567/S2356,25039.0
B1234567/S2357,25039.0
B12345/S8123,25039.0
B1234/S81567,25039.0
B123/S345678,25039.0
B12345/S1467,25039.0
B123456/S467,25039.0
B12/S234578,25039.0
B1234567/S13456,25039.0
B123456/S81267,25039.0
B1/S12345,25039.0
B123/S35,25039.0
B123/S34,25039.0
B123/S37,25039.0
B12345/S13467,25039.0
B123456/S867,25039.0
B12/S1345678,25039.0
B123/S135678,25039.0
B12345/S1267,25039.0
B123456/S12345,25039.0
B123456/S12347,25039.0
B123456/S12346,25039.0
B123/S134678,25039.0
B123456/S267,25039.0
B1234567/S256,25039.0
B1234567/S257,25039.0
B12345678/S23456,25039.0
B12345678/S23457,25039.0
B12345678/S81567,25039.0
B123456/S82367,25039.0
B1/S124568,25039.0
B1/S124567,25039.0
B123/S234578,25039.0
B1/S147,25039.0
B12345/S124578,25039.0
B1234567/S8156,25039.0
B1234567/S8157,25039.0
B1/S8267,25039.0
B123/S2467,25039.0
B12345/S8124,25039.0
B12345/S8125,25039.0
B1234/S134568,25039.0
B1234/S134567,25039.0
B1/S467,25039.0
B1234/S83467,25039.0
B12345/S81256,25039.0
B12345/S81257,25039.0
B123456/S83567,25039.0
B1234/S1345678,25039.0
B1234/S67,25039.0
B123/S157,25039.0
B123/S156,25039.0
B1/S867,25039.0
B1/S267,25039.0
B123456/S1357,25039.0
B123456/S1356,25039.0
B123/S1267,25039.0
B1234/S12357,25039.0
B1234/S12356,25039.0
B12345/S82356,25039.0
B12345/S82357,25039.0
B1234567/S14567,25039.0
B123/S1345678,25039.0
B12345/S8357,25039.0
B12345/S8356,25039.0
B1234/S81357,25039.0
B1234/S81356,25039.0
B1/S83456,25039.0
B1/S83457,25039.0
B123/S567,25039.0
B12/S1456,25039.0
B12/S1457,25039.0
B1234567/S812,25039.0
B1234567/S813,25039.0
B1234567/S816,25039.0
B1234567/S817,25039.0
B1234567/S814,25039.0
B1234567/S815,25039.0
B123/S81246,25039.0
B123/S81247,25039.0
B123/S81245,25039.0
B12345678/S4,25039.0
B12345678/S5,25039.0
B12345678/S6,25039.0
B12345678/S7,25039.0
B12345678/S1,25039.0
B12345678/S2,25039.0
B12345678/S3,25039.0
B1234567/S234568,25039.0
B12345678/S8,25039.0
B12345678/S81346,25039.0
